No. overall [n 2],No. in season,Title [n 3],Directed by,Written by,Original release date [n 4],English air date,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,English air date [12],Unnamed: 6,Volume,Volume.1,Volume.2,Episodes,Release date,Ref.,"('Volume', 'Volume')","('Volume', 'Volume.1')","('Volume', 'Volume.2')","('Episodes', 'Episodes')","('Release date', 'NA')","('Release date', 'UK & IE')","('Release date', 'AUS & NZ')","('ISBN', 'ISBN')","('Ref.', 'Ref.')",vteOne Piece by Eiichiro Oda,vteOne Piece by Eiichiro Oda.1,vteOne Piece by Eiichiro Oda.2,0,1
588,10,"""Meeting Again After Two Years! Luffy and Law!"" Transliteration: ""Ni-nen Buri no Saikai! Rufi to Rō"" (Japanese: 2（に）年ぶりの再会！ルフィとロー)",Yoshihiro Ueda,Tomohiro Nakayama,"March 24, 2013","October 9, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,11,"""The Worst in the World! A Scientist of Terror - Caesar!"" Transliteration: ""Sekai Saiaku - Kyōfu no Kagakusha Shīzā"" (Japanese: 世界最悪 恐怖の科学者シーザー)",Tetsuya Endō,Hirohiko Kamisaka,"March 31, 2013","October 16, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toriko x One Piece x Dragon Ball Z Collaboration Special,Toriko x One Piece x Dragon Ball Z Collaboration Special,Toriko x One Piece x Dragon Ball Z Collaboration Special,Toriko x One Piece x Dragon Ball Z Collaboration Special,Toriko x One Piece x Dragon Ball Z Collaboration Special,Toriko x One Piece x Dragon Ball Z Collaboration Special,Toriko x One Piece x Dragon Ball Z Collaboration Special,Toriko x One Piece x Dragon Ball Z Collaboration Special,Toriko x One Piece x Dragon Ball Z Collaboration Special,Toriko x One Piece x Dragon Ball Z Collaboration Special,Toriko x One Piece x Dragon Ball Z Collaboration Special,Toriko x One Piece x Dragon Ball Z Collaboration Special,Toriko x One Piece x Dragon Ball Z Collaboration Special,,,,,,,,,,,,,,,,,,,,,,
590,12,"""History's Strongest Collaboration vs. Glutton of the Sea!"" Transliteration: ""Shijō Saikyō Korabo tai Umi no Taishokukan"" (Japanese: 史上最強コラボVS（たい）海の大食漢)",Directed by : Yutaka Nakashima Storyboarded by : Naotoshi Shida,Isao Murayama,"April 7, 2013[n 5]","March 5, 2023[10]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punk Hazard,Punk Hazard,Punk Hazard,Punk Hazard,Punk Hazard,Punk Hazard,Punk Hazard,Punk Hazard,Punk Hazard,Punk Hazard,Punk Hazard,Punk Hazard,Punk Hazard,,,,,,,,,,,,,,,,,,,,,,
591,13,"""Chopper's Fury! The Master's Inhumane Experiment!"" Transliteration: ""Choppā Gekido - Masutā Hidōnaru Jikken"" (Japanese: チョッパー激怒 M（マスター）非道なる実験)",Aya Komaki,Yoshiyuki Suga,"April 14, 2013","October 16, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,14,"""To Annihilate the Straw Hats! Legendary Assassins Descend!"" Transliteration: ""Ichimi Massatsu! Densetsu no Koroshiya Raishū!"" (Japanese: 一味抹殺！伝説の殺し屋来襲！)",Directed by : Takahiro Imamura Storyboarded by : Keiji Gotoh,Jin Tanaka,"April 21, 2013","October 23, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,15,"""Save Nami! Luffy's Fight on the Snow-Capped Mountains!"" Transliteration: ""Nami o Sukue! Rufi Yukiyama no Tatakai"" (Japanese: ナミを救え！ルフィ雪山の戦い)",Yoshihiro Ueda,Jin Tanaka,"April 28, 2013","October 23, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,16,"""Formed! Luffy and Law's Pirate Alliance!"" Transliteration: ""Kessei! Rufi to Rō Kaizoku Dōmei!"" (Japanese: 結成！ルフィ・（と）ロー海賊同盟！)",Directed by : Ayako Hiraike Storyboarded by : Kenji Yokoyama,Tomohiro Nakayama,"May 5, 2013","November 6, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,17,"""Capture M! The Pirate Alliance's Operation Launches!"" Transliteration: ""Masutā o Toraero - Kaizoku Dōmei Sakusen Kaishi!"" (Japanese: M（マスター）を捉えろ 海賊同盟作戦開始！)",Tetsuya Endō,Yoshiyuki Suga,"May 12, 2013","November 13, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,18,"""On the Verge of Annihilation! A Deadly Monster Comes Flying In!"" Transliteration: ""Zenmetsu no Kiki - Shi no Monsutā Hirai"" (Japanese: 全滅の危機 死のモンスター飛来)",Directed by : Takahiro Imamura Storyboarded by : Kōhei Kureta [ja],Shōji Yonemura,"May 19, 2013","November 20, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,19,"""An Intense Battle! Caesar Exercises His True Power!"" Transliteration: ""Dai-Gekisen - Shīzā Shin no Nōryoku Hatsudō!"" (Japanese: 大激戦 シーザー真の能力発動！)",Aya Komaki,Yoshiyuki Suga,"May 26, 2013","December 4, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,20,"""A Samurai Who Can Cut Fire! Foxfire Kin'emon!"" Transliteration: ""Honoo Kirisaku Samurai! Kitsunebi no Kin'emon"" (Japanese: 炎切り裂く侍！狐火の錦えもん)",Directed by : Tetsuya Endō Storyboarded by : Nobutaka Nishizawa [ja],Tomohiro Nakayama,"June 2, 2013","December 11, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,21,"""Shocking! The True Identity of the Mystery Man Vergo!"" Transliteration: ""Shōgeki! Nazo no Otoko Verugo no Shōtai!"" (Japanese: 衝撃！謎の男ヴェルゴの正体！)",Yoshihiro Ueda,Jin Tanaka,"June 9, 2013","December 18, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,22,"""Save the Children! The Master's Evil Hands Close In!"" Transliteration: ""Kodomo-tachi o Mamore! Semaru Masutā no Ma no Te"" (Japanese: 子供達を守れ！迫るM（マスター）の魔の手)",Ayako Hiraike,Shōji Yonemura,"June 16, 2013","January 8, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,23,"""Shaking Up the New World! Caesar's Horrendous Experiment!"" Transliteration: ""Shin Sekai Gekishin - Shīzā Akumu no Jikken"" (Japanese: 新世界激震 シーザー悪夢の実験)",Directed by : Takahiro Imamura Storyboarded by : Keiji Gotoh,Tomohiro Nakayama,"June 23, 2013","January 15, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,24,"""The Deadliest Weapon of Mass Destruction in History! Land of the Dead!"" Transliteration: ""Shijō Saiaku no Satsuriku Heiki! Shinokuni"" (Japanese: 史上最悪の殺戮兵器！シノクニ)",Takashi Ōtsuka,Yoshiyuki Suga,"June 30, 2013","January 22, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,25,"""Launching the Counter Attack! Luffy and Law's Great Escape!"" Transliteration: ""Hangeki Kaishi! Rufi to Rō Dai-Dasshutsu"" (Japanese: 反撃開始！ルフィ・（と）ロー大脱出)",Aya Komaki,Jin Tanaka,"July 7, 2013","January 29, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,26,"""Get to Building R! The Pirate Alliance's Great Advance!"" Transliteration: ""Mezase Āru-tō! Kaizoku Dōmei Kai-Shingeki!"" (Japanese: めざせR（アー）棟！海賊同盟快進撃！)",Tetsuya Endō,Jin Tanaka,"July 14, 2013","February 12, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,27,"""Tashigi's Tears! G-5's Desperate Breakthrough Plan!"" Transliteration: ""Tashigi no Namida - Jī-Faibu Kesshi no Toppa Sakusen"" (Japanese: たしぎの涙 G5（ジー・ファイブ）決死の突破作戦)",Yoshihiro Ueda,Tomohiro Nakayama,"July 21, 2013","March 5, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,28,"""The Treacherous Vice Admiral! Demon Bamboo Vergo!"" Transliteration: ""Uragiri no Chūjō! Kichiku no Verugo"" (Japanese: 裏切りの中将！鬼竹のヴェルゴ)",Directed by : Takahiro Imamura Storyboarded by : Nobutaka Nishizawa,Shōji Yonemura,"July 28, 2013","March 12, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,29,"""A Fierce Battle Gets Heated! Luffy vs. Caesar!"" Transliteration: ""Hakunetsu no Gekisen - Rufi tai Shīzā"" (Japanese: 白熱の激戦 ルフィVS（たい）シーザー)",Takashi Ōtsuka,Yoshiyuki Suga,"August 11, 2013","March 12, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,30,"""A Mastermind Underground! Doflamingo Makes His Move!"" Transliteration: ""Yami no Kuromaku! Dofuramingo Ugoku!"" (Japanese: 闇の黒幕！ドフラミンゴ動く！)",Masahiro Hosoda,Shōji Yonemura,"August 18, 2013","March 19, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,31,"""Luffy Dies from Exposure?! The Spine-chilling Snow Woman Monet!"" Transliteration: ""Rufi Tōshi!? Kyōfu no Yuki-On'na Mone!"" (Japanese: ルフィ凍死!? 恐怖の雪女モネ！)",Aya Komaki,Tomohiro Nakayama,"August 25, 2013","March 26, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,32,"""Fists Collide! A Battle of the Two Vice Admirals!"" Transliteration: ""Butsukaru Kobushi! Futari no Chūjō no Tatakai"" (Japanese: ぶつかる拳！二人の中将の戦い)",Directed by : Yoshihiro Ueda Storyboarded by : Kenji Yokoyama,Jin Tanaka,"September 1, 2013","April 2, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,33,"""A Small Dragon! Momonosuke Appears!"" Transliteration: ""Chiisana Doragon! Momonosuke Arawaru"" (Japanese: 小さなドラゴン！モモの助現る)",Directed by : Takahiro Imamura Storyboarded by : Nobutaka Nishizawa,Yoshiyuki Suga,"September 8, 2013","April 9, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,34,"""A Deadly Fight in a Blizzard! The Straw Hats vs. the Snow Woman!"" Transliteration: ""Fubuki no Shitō - Mugiwara no Ichimi tai Yuki-On'na"" (Japanese: 吹雪の死闘 麦わらの一味VS（たい）雪女)",Ayako Hiraike,Jin Tanaka,"September 15, 2013","April 16, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,35,"""Showing Off His Techniques! Zoro's Formidable One-Sword Style!"" Transliteration: ""Ōgi Sakuretsu! Zoro Saikyō no Ittō-ryū!"" (Japanese: 奥義炸裂！ゾロ最強の一刀流！)",Yoshihiro Ueda,Tomohiro Nakayama,"September 22, 2013","April 23, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,36,"""To Save Her Friends! Mocha Runs at the Risk of Her Life!"" Transliteration: ""Tomodachi o Mamoru! Mocha Inochi-gake no Tōsō"" (Japanese: 友達を守る！モチャ命がけの逃走)",Aya Komaki,Shōji Yonemura,"September 29, 2013","April 30, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,37,"""Brownbeard in Grief! Luffy Lands a Furious Blow!"" Transliteration: ""Chahige Hitsū! Rufi Ikari no Ichigeki"" (Japanese: 茶ひげ悲痛！ルフィ怒りの一撃)",Tetsuya Endō,Hirohiko Kamisaka,"October 6, 2013","May 7, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,38,"""A Surprising Outcome! White Hunter vs. Vergo!"" Transliteration: ""Shōgeki no Ketchaku! Sumōkā tai Verugo!"" (Japanese: 衝撃の決着！白猟（スモーカー）VS（たい）ヴェルゴ！)",Takashi Ōtsuka,Yoshiyuki Suga,"October 13, 2013","May 14, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,39,"""Caesar's Defeat! The Powerful Grizzly Magnum!"" Transliteration: ""Shīzā Gekiha! Saikyō no Gurizurī Magunamu"" (Japanese: シーザー撃破！最強の灰熊銃（グリズリー・マグナム）)",Masahiro Hosoda,Shōji Yonemura,"October 20, 2013","May 21, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,40,"""Raid! An Assassin from Dressrosa!"" Transliteration: ""Shūrai! Doresurōza kara no Shikaku"" (Japanese: 襲来！ドレスローザからの刺客)",Directed by : Yoshihiro Ueda Storyboarded by : Nobutaka Nishizawa,Tomohiro Nakayama,"October 27, 2013","June 4, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,41,"""Running Wild! Invincible General Franky!"" Transliteration: ""Ō-abare! Muteki no Furankī Shōgun"" (Japanese: 大暴れ！無敵のフランキー将軍)",Aya Komaki,Hirohiko Kamisaka,"November 3, 2013","June 11, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,42,"""A Critical Situation! Punk Hazard Explodes!"" Transliteration: ""Zettai Zetsumei! Panku Hazādo Dai-bakuhatsu"" (Japanese: 絶体絶命！パンクハザード大爆発)",Ayako Hiraike,Jin Tanaka,"November 10, 2013","June 18, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,43,"""Capture Caesar! General Cannon Blasts!"" Transliteration: ""Shīzā o Hokaku-seyo - Jeneraru Kyanon Sakuretsu"" (Japanese: シーザーを捕獲せよ 将軍砲（ジェネラルキャノン）炸裂)",Yoshihiro Ueda,Yoshiyuki Suga,"November 17, 2013","June 25, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,44,"""A Touching Reunion! Momonosuke and Kin'emon!"" Transliteration: ""Kandō no Saikai! Momonosuke to Kin'emon"" (Japanese: 感動の再会！モモの助と錦えもん)",Directed by : Tetsuya Endō Storyboarded by : Tetsuro Kodama,Shōji Yonemura,"November 24, 2013","July 9, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,45,"""It's Time to Say Goodbye! Leaving Punk Hazard!"" Transliteration: ""Sekibetsu no Toki - Panku Hazādo Shukkō!"" (Japanese: 惜別の時 パンクハザード出航！)",Directed by : Takahiro Imamura Storyboarded by : Kenji Yokoyama,Tomohiro Nakayama,"December 1, 2013","July 16, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,46,"""The G-5 Wiped Out! Doflamingo's Sudden Attack!"" Transliteration: ""Jī-Faibu Kaimetsu! Dofuramingo Kyūshū!"" (Japanese: G5（ジー・ファイブ）壊滅！ドフラミンゴ急襲！)",Masahiro Hosoda,Jin Tanaka,"December 8, 2013","July 23, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,47,"""Intense! Aokiji vs. Doflamingo!"" Transliteration: ""Kinpaku! Aokiji tai Dofuramingo"" (Japanese: 緊迫！青キジVS（たい）ドフラミンゴ)",Tetsuya Endō,Yoshiyuki Suga,"December 15, 2013","July 30, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesar Retrieval,Caesar Retrieval,Caesar Retrieval,Caesar Retrieval,Caesar Retrieval,Caesar Retrieval,Caesar Retrieval,Caesar Retrieval,Caesar Retrieval,Caesar Retrieval,Caesar Retrieval,Caesar Retrieval,Caesar Retrieval,,,,,,,,,,,,,,,,,,,,,,
626,48,"""Caesar Goes Missing! The Pirate Alliance Makes a Sortie!"" Transliteration: ""Kieta Shīzā! Kaizoku Dōmei Shutsugeki"" (Japanese: 消えたシーザー！海賊同盟出撃)",Takashi Ōtsuka,Jin Tanaka,"December 22, 2013","August 6, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,49,"""Luffy Dies at Sea?! The Pirate Alliance Comes Apart!"" Transliteration: ""Rufi Umi ni Shisu!? Kaizoku Dōmei Hōkai"" (Japanese: ルフィ海に死す!? 海賊同盟崩壊)",Aya Komaki,Tomohiro Nakayama,"January 5, 2014","August 13, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,50,"""A Major Turnaround! Luffy's Angry Iron Fist Strikes!"" Transliteration: ""Dai-gyakuten! Sakuretsu Rufi Ikari no Tekken"" (Japanese: 大逆転！炸裂ルフィ怒りの鉄拳)",Ayako Hiraike,Jin Tanaka,"January 12, 2014","August 20, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,1,"""Startling! The Big News Shakes Up the New World!"" Transliteration: ""Gekishin! Shin Sekai Ugokasu Dai-nyūsu"" (Japanese: 激震！新世界動かす大ニュース)",Yoshihiro Ueda,Hirohiko Kamisaka,"January 19, 2014","September 17, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,2,"""Explore! A Kingdom of Love and Passion - Dressrosa!"" Transliteration: ""Bōken! Ai to Jōnetsu no Kuni Doresurōza"" (Japanese: 冒険！愛と情熱の国ドレスローザ)",Hiroaki Miyamoto,Hirohiko Kamisaka,"January 26, 2014","September 17, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,3,"""Full of Enthusiasm! The Corrida Colosseum!"" Transliteration: ""Nekkyō Uzumaku - Korīda Koroshiamu"" (Japanese: 熱狂渦巻く コリーダコロシアム)",Masahiro Hosoda,Shōji Yonemura,"February 2, 2014","September 24, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,4,"""A Dangerous Love! The Dancer Girl - Violet!"" Transliteration: ""Kiken na Koi - Odoriko Vaioretto"" (Japanese: 危険な恋 踊り娘ヴァイオレット)",Katsumi Tokoro,Yoshiyuki Suga,"February 9, 2014","September 24, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,5,"""A Formidable, Unknown Warrior! Here Comes Lucy!"" Transliteration: ""Saikyō no Mumei Senshi! Rūshī Tōjō"" (Japanese: 最強の無名戦士！ルーシー登場)",Tetsuya Endō,Shōji Yonemura,"February 16, 2014","October 1, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,6,"""A Pirate Noble! Cavendish!"" Transliteration: ""Kaizoku Kikōshi Kyabendisshu"" (Japanese: 海賊貴公子 キャベンディッシュ)",Aya Komaki,Tomohiro Nakayama,"February 23, 2014","October 1, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,7,"""The Fateful Reunion! Bellamy the Hyena!"" Transliteration: ""Unmei no Saikai - Haiena no Beramī"" (Japanese: 運命の再会 ハイエナのベラミー)",Directed by : Takahiro Imamura Storyboarded by : Kenji Yokoyama,Shōji Yonemura,"March 2, 2014","October 8, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,8,"""A Super Rookie! Bartolomeo the Cannibal!"" Transliteration: ""Chōshinsei! Hitokui no Barutoromeo"" (Japanese: 超新星！人食いのバルトロメオ)",Yoshihiro Ueda,Jin Tanaka,"March 16, 2014","October 8, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,9,"""Big Names Duke It Out! The Heated Block B Battle!"" Transliteration: ""Gun'yū-kakkyo! Hakunetsu no Bī-Burokku!"" (Japanese: 群雄割拠！白熱のB（ビー）ブロック！)",Katsumi Tokoro,Hirohiko Kamisaka,"March 23, 2014","October 15, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,10,"""A Deadly Blow! The Astonishing King Punch!"" Transliteration: ""Ichigeki-hissatsu! Kyōi no Kingu Panchi"" (Japanese: 一撃必殺！驚異のキング・パンチ)",Ayako Hiraike,Yoshiyuki Suga,"March 30, 2014","October 15, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,11,"""The Fighting Fish Strike! Across the Deadly Iron Bridge!"" Transliteration: ""Tōgyo Shūrai! Shi no Tekkyō o Toppa Seyo"" (Japanese: 闘魚襲来！死の鉄橋を突破せよ)",Directed by : Takashi Ōtsuka Storyboarded by : Hiroaki Miyamoto,Shōji Yonemura,"April 6, 2014","November 12, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,12,"""Explore! Fairies' Island - Green Bit!"" Transliteration: ""Bōken! Yōsei no Shima Gurīn Bitto"" (Japanese: 冒険！妖精の島グリーンビット)",Directed by : Yoshihiro Ueda Storyboarded by : Yutaka Uemura,Tomohiro Nakayama,"April 13, 2014","November 19, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,13,"""The Unknown World! The Tontatta Kingdom!"" Transliteration: ""Shirarezaru Sekai - Tontatta Ōkoku"" (Japanese: 知られざる世界 トンタッタ王国)",Directed by : Toshinori Fukuzawa [ja] Storyboarded by : Aya Komaki,Hirohiko Kamisaka,"April 20, 2014","November 19, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,14,"""The Stratagem of the Century! Doflamingo Makes His Move!"" Transliteration: ""Seiki no Bōryaku - Dofuramingo Ugoku"" (Japanese: 世紀の謀略 ドフラミンゴ動く！)",Masahiro Hosoda,Jin Tanaka,"April 27, 2014","November 26, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,15,"""Shaking Heaven and Earth! Admiral Fujitora's Power!"" Transliteration: ""Tenchi Yurugasu! Taishō Fujitora no Jitsuryoku"" (Japanese: 天地ゆるがす！大将藤虎の実力)",Yoshihiro Ueda,Yoshiyuki Suga,"May 4, 2014[11]","November 26, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,16,"""A Blow of Anger! A Giant vs. Lucy!"" Transliteration: ""Ikari no Ichigeki! Kyojin tai Rūshī"" (Japanese: 怒りの一撃！巨人VS（たい）ルーシー)",Tetsuya Endō,Shōji Yonemura,"May 11, 2014","December 3, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,17,"""Destruction Cannon Blasts! Lucy in Trouble!"" Transliteration: ""Hakai-hō Sakuretsu! Rūshī Kiki-ippatsu"" (Japanese: 破壊砲炸裂！ルーシー危機一髪)",Katsumi Tokoro,Jin Tanaka,"May 18, 2014","December 3, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,18,"""The Legendary Pirate! Don Chin Jao!"" Transliteration: ""Densetsu no Kaizoku - Don Chinjao!"" (Japanese: 伝説の海賊 首領・チンジャオ！)",Aya Komaki,Tomohiro Nakayama,"May 25, 2014","December 10, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,19,"""Light and Shadow! Darkness Behind Dressrosa!"" Transliteration: ""Hikari to Kage - Doresurōza ni Hisomu Yami!"" (Japanese: 光と影 ドレスローザに潜む闇！)",Directed by : Ayako Hiraike Storyboarded by : Yutaka Uemura,Yoshiyuki Suga,"June 1, 2014","December 10, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,20,"""Making a Sortie! The Legendary Hero Usoland!"" Transliteration: ""Shutsugeki - Densetsu no Hīrō Usorando"" (Japanese: 出撃 伝説のヒーローウソランド)",Directed by : Tetsuya Endō Storyboarded by : Kenji Yokoyama,Tomohiro Nakayama,"June 8, 2014","December 17, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,21,"""The Fierce Battle Coming to the End! Lucy vs. Chin Jao!"" Transliteration: ""Gekisen Ketchaku - Rūshī tai Chinjao"" (Japanese: 激戦決着 ルーシーVS（たい）チンジャオ)",Yoshihiro Ueda,Jin Tanaka,"June 15, 2014","January 14, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,22,"""Luffy and the Gladiator of Fate - Rebecca!"" Transliteration: ""Rufi to Shukumei no Ken Tōshi Rebekka"" (Japanese: ルフィと宿命の剣闘士レベッカ)",Masahiro Hosoda,Shōji Yonemura,"June 22, 2014","January 21, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,23,"""Protect You to the End! Rebecca and the Toy Soldier!"" Transliteration: ""Mamorinuku! Rebekka to Omocha no Heitai"" (Japanese: 守り抜く！レベッカとおもちゃの兵隊)",Toshinori Fukuzawa,Yoshiyuki Suga,"June 29, 2014","January 28, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
