"('Season', 'Season')","('Season title', 'Season title')","('Episodes', 'Episodes')","('Episodes', 'Episodes.1')","('Originally released', 'First released')","('Originally released', 'Last released')",No. overall,No. in season,Title,Directed by,Written by,Original release date,English air date,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,No. overall [n 2],Title [n 3],Original release date [n 4],English air date [12],Unnamed: 6,Volume,Volume.1,Volume.2,Episodes,Release date,Ref.,"('Volume', 'Volume')","('Volume', 'Volume.1')","('Volume', 'Volume.2')","('Release date', 'NA')","('Release date', 'UK & IE')","('Release date', 'AUS & NZ')","('ISBN', 'ISBN')","('Ref.', 'Ref.')",vteOne Piece by Eiichiro Oda,vteOne Piece by Eiichiro Oda.1,vteOne Piece by Eiichiro Oda.2,0,1
,,,,,,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,523,7,"""A Surprising Fact! The Man Who Guarded the Sunny!"" Transliteration: ""Kyōgaku no Shinjitsu - Sanī-gō o Mamotta Otoko"" (Japanese: 驚愕の真実 サニー号を守った男)",Yoshihiro Ueda,Yoshiyuki Suga,"November 13, 2011","February 13, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,524,8,"""Deadly Combat Under the Sea! The Demon of the Ocean Strikes!"" Transliteration: ""Kaichū no Shitō - Arawareta Ōunabara no Akuma"" (Japanese: 海中の死闘 現れた大海原の悪魔)",Aya Komaki,Tomohiro Nakayama,"November 20, 2011","February 13, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,525,9,"""Lost in the Deep Sea! The Straw Hats Get Separated!"" Transliteration: ""Shinkai de Sōnan - Hagureta Mugiwara no Ichimi"" (Japanese: 深海で遭難 逸れた麦わらの一味)",Katsumi Tokoro,Tomohiro Nakayama,"November 27, 2011","February 20, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,526,10,"""Undersea Volcanic Eruption! Drifting to the Fishman Island!"" Transliteration: ""Kaitei Kazan Funka! Nagasarete Gyojin-tō"" (Japanese: 海底火山噴火！流されて魚人島)",Takahiro Imamura,Yoshiyuki Suga,"December 4, 2011","February 20, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,527,11,"""Landing at the Fishman Island! Beautiful Mermaids!"" Transliteration: ""Gyojin-tō Jōriku - Uruwashiki Ningyo-tachi"" (Japanese: 魚人島上陸 うるわしき人魚たち)",Yutaka Nakashima,Hirohiko Kamisaka,"December 11, 2011","February 27, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,528,12,"""Excitement Blow-out! Sanji's Life Under Threat!"" Transliteration: ""Kōfun Bakuhatsu! Sanji Seimei no Kiki!"" (Japanese: 興奮爆発！サンジ生命の危機！)",Naoyuki Itō,Jin Tanaka,"December 18, 2011","February 27, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,529,13,"""The Fishman Island Will Be Annihilated?! Sharley's Prophecy!"" Transliteration: ""Gyojin-tō Metsubō!? Shārī no Yogen"" (Japanese: 魚人島滅亡!? シャーリーの予言)",Yoshihiro Ueda,Hirohiko Kamisaka,"December 25, 2011","March 6, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,530,14,"""The King of the Fishman Island! Neptune, the God of the Sea!"" Transliteration: ""Gyojin-tō no Ō - Kaishin Nepuchūn!"" (Japanese: 魚人島の王 海神ネプチューン！)",Directed by : Ayako Hiraike Storyboarded by : Hiroaki Miyamoto,Yoshiyuki Suga,"January 8, 2012","March 6, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,531,15,"""The Ryugu Palace! Taken by the Shark That They Saved!"" Transliteration: ""Ryūgū-jō! Tasuketa Same ni Tsurerarete"" (Japanese: 竜宮城！助けた鮫に連れられて)",Gō Koga,Jin Tanaka,"January 15, 2012","March 13, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,532,16,"""A Coward and a Crybaby! The Princess in the Hard Shell Tower!"" Transliteration: ""Yowamushi de Nakimushi! Kōkaku-tō no Ningyo Hime"" (Japanese: 弱虫で泣き虫！硬殻塔の人魚姫)",Aya Komaki,Tomohiro Nakayama,"January 22, 2012","March 13, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,533,17,"""It's an Emergency! The Ryugu Palace Is Occupied!"" Transliteration: ""Kinkyū Jitai Hassei - Senkyo Sareta Ryūgū-jō"" (Japanese: 緊急事態発生 占拠された竜宮城)",Directed by : Hiroyuki Satō Storyboarded by : Tetsuya Endō,Hirohiko Kamisaka,"January 29, 2012","March 20, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,534,18,"""The Ryugu Palace in Shock! The Kidnapping of Shirahoshi!"" Transliteration: ""Ryūgū-jō Gekishin! Shirahoshi Yūkai Jiken"" (Japanese: 竜宮城激震！しらほし誘拐事件)",Takahiro Imamura,Yoshiyuki Suga,"February 5, 2012","March 20, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,535,19,"""Hordy's Onslaught! The Retaliatory Plan Set into Motion!"" Transliteration: ""Hōdi Shūrai - Fukushū Keikaku no Hajimari"" (Japanese: ホーディ襲来 復讐計画の始まり)",Katsumi Tokoro,Tomohiro Nakayama,"February 12, 2012","March 27, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,536,20,"""The Battle in the Ryugu Palace! Zoro vs. Hordy!"" Transliteration: ""Ryūgū-jō no Kessen! Zoro tai Hōdi"" (Japanese: 竜宮城の決戦！ゾロVS（たい）ホーディ)",Yoshihiro Ueda,Jin Tanaka,"February 19, 2012","March 27, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,537,21,"""Keep Shirahoshi Safe! Decken Close Behind!"" Transliteration: ""Shirahoshi o Mamore - Dekken no Tsuigeki"" (Japanese: しらほしを守れ デッケンの追撃)",Yutaka Nakashima,Yoshiyuki Suga,"February 26, 2012","April 3, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,538,22,"""The Straw Hats Defeated?! Hordy Gains Control of the Ryugu Palace!"" Transliteration: ""Ichimi Haiboku!? Hōdi Ryūgū-jō Seiatsu"" (Japanese: 一味敗北!? ホーディ竜宮城制圧)",Naoyuki Itō,Hirohiko Kamisaka,"March 4, 2012","April 3, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,539,23,"""The Haunting Ties! Nami and the Fishman Pirates!"" Transliteration: ""Yomigaeru In'nen! Nami to Gyojin Kaizoku-dan!"" (Japanese: 蘇る因縁！ナミと魚人海賊団！)",Aya Komaki,Tomohiro Nakayama,"March 18, 2012","April 10, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,540,24,"""A Hero Who Freed the Slaves! An Adventurer Tiger!"" Transliteration: ""Dorei Kaihō no Eiyū - Bōkenka Taigā"" (Japanese: 奴隷解放の英雄 冒険家タイガー)",Directed by : Hiroyuki Satō Storyboarded by : Hiroyuki Satō & Yoshihiro Ueda,Jin Tanaka,"March 25, 2012","April 17, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,541,25,"""Kizaru Appears! A Trap to Catch Tiger!"" Transliteration: ""Kizaru Tōjō! Taigā o Nerau Wana!"" (Japanese: 黄猿登場！タイガーを狙う罠！)",Yoshihiro Ueda,Tomohiro Nakayama,"April 1, 2012","April 17, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,542,26,"""A Team Is Formed! Save Chopper"" Transliteration: ""Chīmu Kessei! Choppā o Sukue"" (Japanese: チーム結成！チョッパーを救え)",Tetsuya Endō & Yutaka Nakashima,Isao Murayama,"April 8, 2012[n 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,543,27,"""The Death of the Hero! A Shocking Truth of Tiger!"" Transliteration: ""Eiyū no Saigo - Taigā Shōgeki no Shinjitsu"" (Japanese: 英雄の最期 タイガー衝撃の真実)",Directed by : Yoshihiro Ueda Storyboarded by : Katsumi Tokoro,Yoshiyuki Suga,"April 15, 2012","April 24, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,544,28,"""The Sun Pirates Split! Jimbei vs. Arlong!"" Transliteration: ""Kaizokudan Bunretsu - Jinbē tai Āron"" (Japanese: 海賊団分裂 ジンベエVS（たい）アーロン)",Takahiro Imamura,Jin Tanaka,"April 22, 2012","April 24, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,545,29,"""Shaking Fishman Island! A Celestial Dragon Drifts In!"" Transliteration: ""Yureru Gyojin-tō! Hyōchakushita Tenryūbito"" (Japanese: 揺れる魚人島！漂着した天竜人)",Naoyuki Itō,Yoshiyuki Suga,"April 29, 2012","May 1, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,546,30,"""A Sudden Tragedy! A Gunshot Shuts Down the Future!"" Transliteration: ""Totsuzen no Higeki! Mirai o Tozasu Kyōdan"" (Japanese: 突然の悲劇！未来を閉ざす凶弾)",Aya Komaki,Tomohiro Nakayama,"May 6, 2012","May 1, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,547,31,"""Back to the Present! Hordy Makes a Move!"" Transliteration: ""Futatabi Genzai e! Ugokidasu Hōdi"" (Japanese: 再び現在へ！動き出すホーディ)",Directed by : Tetsuya Endō Storyboarded by : Hiroaki Miyamoto,Hirohiko Kamisaka,"May 13, 2012","May 8, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,548,32,"""The Kingdom in Shock! An Order to Execute Neptune Issued!"" Transliteration: ""Ōkoku Gekishin - Nepuchūn Shokei Shirei"" (Japanese: 王国激震 ネプチューン処刑指令)",Yoshihiro Ueda,Jin Tanaka,"May 20, 2012","May 8, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,549,33,"""A Rift Opens Up! Luffy vs. Jimbei!"" Transliteration: ""Shōjita Kiretsu! Rufi tai Jinbē"" (Japanese: 生じた亀裂！ルフィVS（たい）ジンベエ)",Yutaka Nakashima,Tomohiro Nakayama,"May 27, 2012","May 15, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,550,34,"""Something Has Happened to Hordy! The True Power of the Evil Drug!"" Transliteration: ""Hōdi no Ihen - Kyōyaku no Shin no Chikara!"" (Japanese: ホーディの異変 凶薬の真の力！)",Gō Koga,Hirohiko Kamisaka,"June 3, 2012","May 15, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,551,35,"""The Battle Is On! At Conchcorde Plaza!"" Transliteration: ""Kessen Hajimaru - Gyonkorudo Hiroba!"" (Japanese: 決戦始まる ギョンコルド広場！)",Tetsuya Endō,Jin Tanaka,"June 10, 2012","May 22, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,552,36,"""A Surprising Confession! The Truth Behind the Assassination of Otohime!"" Transliteration: ""Shōgeki no Kokuhaku - Otohime Ansatsu no Shinjitsu"" (Japanese: 衝撃の告白 オトヒメ暗殺の真実)",Aya Komaki,Yoshiyuki Suga,"June 17, 2012","May 22, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,553,37,"""Shirahoshi's Tears! Luffy Finally Shows Up!"" Transliteration: ""Shirahoshi no Namida! Rufi Tsuini Tōjō"" (Japanese: しらほしの涙！ルフィ遂に登場)",Hiroaki Miyamoto,Hirohiko Kamisaka,"June 24, 2012","May 29, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,554,38,"""A Big Clash! The Straw Hats vs. a Hundred Thousand Enemies!"" Transliteration: ""Dai Gekitotsu! Mugiwara Ichimi tai Jū-man no Teki"" (Japanese: 大激突！麦わら一味VS（たい）10（じゅう）万の敵)",Yoshihiro Ueda,Yoshiyuki Suga,"July 1, 2012","May 29, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,555,39,"""Deadly Attacks One After Another! Zoro and Sanji Join the Battle!"" Transliteration: ""Ōwaza Sakuretsu! Zoro to Sanji Shutsugeki!"" (Japanese: 大技炸裂！ゾロ・（と）サンジ出撃！)",Takahiro Imamura,Tomohiro Nakayama,"July 8, 2012","June 5, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,556,40,"""Unveiled! The Secret Weapons of the Sunny!"" Transliteration: ""Hatsu Hirō! Sanī-gō no Himitsu Heiki!"" (Japanese: 初披露！サニー号の秘密兵器！)",Naoyuki Itō,Jin Tanaka,"July 15, 2012","June 5, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,557,41,"""Iron Pirate! Here Comes General Franky!"" Transliteration: ""Aian Pairētsu! Furankī Shōgun Tōjō"" (Japanese: 鉄の海賊（アイアンパイレーツ）！フランキー将軍登場)",Yutaka Nakashima,Hirohiko Kamisaka,"July 29, 2012","June 12, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,558,42,"""The Noah Closing In! The Fishman Island Facing Destruction!"" Transliteration: ""Noa Sekkin! Gyojin-tō Kaimetsu no Kiki!"" (Japanese: ノア接近！魚人島壊滅の危機！)",Tetsuya Endō,Tomohiro Nakayama,"August 5, 2012","June 12, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,559,43,"""Hurry Up, Luffy! Shirahoshi's Life in Jeopardy!"" Transliteration: ""Isoge Rufi! Shirahoshi Zettai Zetsumei"" (Japanese: 急げルフィ！しらほし絶体絶命)",Gō Koga,Yoshiyuki Suga,"August 12, 2012","June 19, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,560,44,"""The Fierce Fight Begins! Luffy vs. Hordy!"" Transliteration: ""Gekitō Kaishi! Rufi tai Hōdi!"" (Japanese: 激闘開始！ルフィVS（たい）ホーディ！)",Yoshihiro Ueda,Jin Tanaka,"August 19, 2012","June 19, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,561,45,"""A Massive Confused Fight! The Straw Hats vs. the New Fishman Pirates!"" Transliteration: ""Dai-ransen! Ichimi tai Shin Gyojin Kaizokudan!"" (Japanese: 大乱戦！一味VS（たい）新魚人海賊団！)",Aya Komaki,Tomohiro Nakayama,"August 26, 2012","June 26, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,562,46,"""Luffy Loses the Fight?! Hordy's Long-Awaited Revenge!"" Transliteration: ""Rufi Haiboku!? Hōdi Fukushū no Toki"" (Japanese: ルフィ敗北!? ホーディ復讐の時)",Directed by : Takahiro Imamura Storyboarded by : Naotoshi Shida,Yoshiyuki Suga,"September 2, 2012","June 26, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,563,47,"""A Shocking Fact! The True Identity of Hordy!"" Transliteration: ""Shōgeki no Jijitsu! Hōdi no Shōtai!"" (Japanese: 衝撃の事実！ホーディの正体！)",Naoyuki Itō,Jin Tanaka,"September 9, 2012","July 10, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,564,48,"""Back to Zero! Earnest Wishes for Luffy!"" Transliteration: ""Zero ni! Rufi e no Atsuki Negai!"" (Japanese: ゼロに！ルフィへの熱き願い！)",Tetsuya Endō,Hirohiko Kamisaka,"September 16, 2012","July 10, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,565,49,"""Luffy's All-Out Attack! Red Hawk Blasts!"" Transliteration: ""Rufi Konshin no Ichigeki! Reddo Hōku Sakuretsu"" (Japanese: ルフィ渾身の一撃！火拳銃（レッドホーク）炸裂)",Yutaka Nakashima,Hirohiko Kamisaka,"September 23, 2012","July 17, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,566,50,"""Coming to an End! The Final Decisive Battle Against Hordy!"" Transliteration: ""Tsui ni Ketchaku! Hōdi Saishū Kessen"" (Japanese: ついに決着！ホーディ最終決戦)",Hiroaki Miyamoto,Yoshiyuki Suga,"September 30, 2012","July 17, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,567,51,"""Stop, Noah! Desperate Elephant Gatling!"" Transliteration: ""Tomare Noa! Kesshi no Erefanto Gatoringu!"" (Japanese: 止まれノア！決死の象銃乱打（エレファントガトリング）！)",Takahiro Imamura,Jin Tanaka,"October 7, 2012","July 24, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,568,52,"""To the Future! The Path to the Sun!"" Transliteration: ""Mirai e! Taiyō e to Tsuzuku Michi!"" (Japanese: 未来へ！タイヨウへと続く道！)",Aya Komaki,Tomohiro Nakayama,"October 14, 2012","July 24, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,569,53,"""The Secret Revealed! The Truth About the Ancient Weapon!"" Transliteration: ""Akasareta Himitsu - Kodai Heiki no Shinjitsu"" (Japanese: 明かされた秘密 古代兵器の真実)",Yoshihiro Ueda,Tomohiro Nakayama,"October 21, 2012","July 31, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,570,54,"""The Straw Hats Stunned! The New Fleet Admiral of the Navy!"" Transliteration: ""Ichimi Kyōgaku! Aratanaru Kaigun Gensui!"" (Japanese: 一味驚愕！新たなる海軍元帥！)",Directed by : Tetsuya Endō Storyboarded by : Gō Koga,Jin Tanaka,"October 28, 2012","July 31, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,571,55,"""She Loves Sweets! Big Mom of the Four Emperors!"" Transliteration: ""Okashi-zuki! Yonkō Biggu Mamu"" (Japanese: お菓子好き！四皇ビッグ・マム)",Tetsuya Endō,Yoshiyuki Suga,"November 4, 2012","August 7, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,572,56,"""Many Problems Lie Ahead! A Trap Awaiting in the New World!"" Transliteration: ""Zento Tanan - Shin Sekai ni Machiukeru Wana"" (Japanese: 前途多難 新世界に待ち受ける罠)",Directed by : Ayako Hiraike Storyboarded by : Naoyuki Itō,Tomohiro Nakayama,"November 11, 2012","August 7, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,573,57,"""Finally Time to Go! Goodbye, Fishman Island!"" Transliteration: ""Tsui ni Shukkō! Sayonara Gyojin-tō"" (Japanese: ついに出航！さよなら魚人島)",Yutaka Nakashima,Jin Tanaka,"November 18, 2012","August 14, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,574,58,"""To the New World! Heading for the Ultimate Sea!"" Transliteration: ""Shin Sekai e! Saikyō no Umi o Mezashite"" (Japanese: 新世界へ！最強の海をめざして)",Directed by : Katsumi Tokoro Storyboarded by : Naotoshi Shida,Yoshiyuki Suga,"November 25, 2012","August 14, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Z's Ambition,Z's Ambition,Z's Ambition,Z's Ambition,Z's Ambition,Z's Ambition,Z's Ambition,Z's Ambition,Z's Ambition,Z's Ambition,Z's Ambition,Z's Ambition,Z's Ambition,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,575,59,"""Z's Ambition! Lily the Little Giant!"" Transliteration: ""Zetto no Yabō-hen - Chiisana Kyojin Rirī!"" (Japanese: Z（ゼット）の野望編 小さな巨人リリー！)",Aya Komaki,Hirohiko Kamisaka,"December 2, 2012","August 21, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,576,60,"""Z's Ambition! A Dark and Powerful Army!"" Transliteration: ""Zetto no Yabō-hen - Nazo no Saikyō Gundan Tōjō!"" (Japanese: Z（ゼット）の野望編 謎の最強軍団登場！)",Yoshihiro Ueda,Hirohiko Kamisaka,"December 9, 2012","August 21, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,577,61,"""Z's Ambition! A Great and Desperate Escape Plan!"" Transliteration: ""Zetto no Yabō-hen - Kesshi no Dai Dasshutsu Sakusen!"" (Japanese: Z（ゼット）の野望編 決死の大脱出作戦！)",Takahiro Imamura,Hirohiko Kamisaka,"December 16, 2012","August 28, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
