"('Season', 'Season')","('Season title', 'Season title')","('Episodes', 'Episodes')","('Episodes', 'Episodes.1')","('Originally released', 'First released')","('Originally released', 'Last released')",No. overall [n 1],No. in season,Title [n 2][10],Directed by,Written by,Original release date [n 3],English air date [n 4],Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,No. overall,Title,Original release date,English air date,Title [n 8],Unnamed: 6,No.,Unnamed: 3,Volume,Volume.1,Volume.2,Episodes,Release date,Ref.,"('Volume', 'Volume')","('Volume', 'Volume.1')","('Volume', 'Volume.2')","('Release date', 'USA')","('Release date', 'UK')","('Release date', 'Australia')","('ISBN', 'ISBN')","('Ref.', 'Ref.')",vteOne Piece by Eiichiro Oda,vteOne Piece by Eiichiro Oda.1,vteOne Piece by Eiichiro Oda.2,0,1
,,,,,,269,6,"""Robin Betrayed! The Motive of the World Government!"" Transliteration: ""Uragira re ta Robin! Sekai Seifu no Omowaku!"" (Japanese: 裏切られたロビン! 世界政府の思惑!)",Katsumi Tokoro,Hirohiko Kamisaka,"June 25, 2006[n 5][15]","September 7, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,270,7,"""Give Robin Back! Luffy vs. Blueno!"" Transliteration: ""Robin o Kaese! Rufi vs. Burūno!"" (Japanese: ロビンを返せ! ルフィvsブルーノ!)",Takahiro Imamura,Hirohiko Kamisaka,"July 2, 2006[16]","September 14, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,271,8,"""Don't Stop! Hoist the Counterattack Signal!"" Transliteration: ""Tachidomaru na! Hangeki no Noroshi o Agero!"" (Japanese: 立ち止まるな! 反撃の狼煙を上げろ!)",Yoshihiro Ueda,Hirohiko Kamisaka,"July 9, 2006[17]","September 21, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,272,9,"""Almost to Luffy! Gather at the Courthouse Plaza!"" Transliteration: ""Rufi Mokuzen! Saibanshomae Hiroba e Shūketsu se yo"" (Japanese: ルフィ目前! 裁判所前広場へ集結せよ)",Hiroyuki Kakudō,Hirohiko Kamisaka,"July 23, 2006[18]","September 28, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,273,10,"""Everything is to Protect My Friends! Second Gear Activated!"" Transliteration: ""Subete wa Nakama o Mamoru Tame ni! Gia Sekando Hatsudō"" (Japanese: 全ては仲間を守る為に! ギア2発動!)",Munehisa Sakai,Hirohiko Kamisaka,"July 30, 2006[19]","October 5, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,274,11,"""Give us Your Answer, Robin! The Straw Hats' Outcry!"" Transliteration: ""Kotaero Robin! Mugiwara Ichimi no Sakebi!!"" (Japanese: 答えろロビン! 麦わら一味の叫び!!)",Yoko Ikeda,Hirohiko Kamisaka,"August 6, 2006[20]","October 12, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,275,12,"""Robin's Past! The Girl Who was Called a Devil!"" Transliteration: ""Robin no Kako! Akuma to Yoba re ta Shōjo!"" (Japanese: ロビンの過去! 悪魔と呼ばれた少女!)",Hiroaki Miyamoto,Hirohiko Kamisaka,"August 13, 2006[21]","October 19, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,276,13,"""Fated Mother and Daughter! The Mother's Name is Olvia!"" Transliteration: ""Shukumei no Oyako! Sono Haha no Na wa Orubia!"" (Japanese: 宿命の母娘! その母の名はオルビア!)",Directed by : Toru Yamada Storyboarded by : Eisaku Inoue,Hirohiko Kamisaka,"September 10, 2006[22]","October 26, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,277,14,"""The Tragedy of Ohara! The Terror of the Buster Call!"" Transliteration: ""Ohara no Higeki! Basutā Kōru no Kyōfu"" (Japanese: オハラの悲劇! バスターコールの恐怖)",Takahiro Imamura,Hirohiko Kamisaka,"September 24, 2006[n 6][23]","November 2, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,278,15,"""Say You Want to Live! We Are Your Friends!!"" Transliteration: ""Ikitai to Ie! Oretachi wa Nakama da!!"" (Japanese: 生きたいと言え! オレ達は仲間だ!!)",Yoshihiro Ueda,Hirohiko Kamisaka,"September 24, 2006[n 6][23]","November 9, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Straw Hat Theater & The Straw Hat Pirate Crew,Straw Hat Theater & The Straw Hat Pirate Crew,Straw Hat Theater & The Straw Hat Pirate Crew,Straw Hat Theater & The Straw Hat Pirate Crew,Straw Hat Theater & The Straw Hat Pirate Crew,Straw Hat Theater & The Straw Hat Pirate Crew,Straw Hat Theater & The Straw Hat Pirate Crew,Straw Hat Theater & The Straw Hat Pirate Crew,Straw Hat Theater & The Straw Hat Pirate Crew,Straw Hat Theater & The Straw Hat Pirate Crew,Straw Hat Theater & The Straw Hat Pirate Crew,Straw Hat Theater & The Straw Hat Pirate Crew,Straw Hat Theater & The Straw Hat Pirate Crew,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,279,16,"""Jump Towards the Falls! Luffy's Feelings!"" Transliteration: ""Taki ni Mukatte Tobe! Rufi no Omoi!!"" (Japanese: 滝に向かって飛べ! ルフィの想い!!)",Munehisa Sakai,,"October 1, 2006[24]","November 16, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,EX–1,EX–1,"""Straw Hat Theatre #1: Chopper Man"" Transliteration: ""Mugiwara Gekijō Sono Ichi: Chopper Man"" (Japanese: 麦わら劇場その1「Chopper Man」)",,,"October 1, 2006[n 7]","November 16, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,280,17,"""The Ways of Men! Zoro's Techniques, Usopp's Dream!"" Transliteration: ""Otoko no Ikisama! Zoro no Waza Usoppu no Yume"" (Japanese: 男の生き様! ゾロの業·ウソップの夢)",Munehisa Sakai & Yoko Ikeda,,"October 8, 2006[26]","November 23, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,EX–2,EX–2,"""Straw Hat Theatre #2: Report Time"" Transliteration: ""Mugiwara Gekijō Sono Ni: Report Time"" (Japanese: 麦わら劇場その2「Report Time」)",,,"October 8, 2006[n 7]","November 23, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,281,18,"""A Bond of Friendship Woven by Tears! Nami's World Map!"" Transliteration: ""Namida ga Tsumui da Nakama no Kizuna! Nami no Sekai Chizu"" (Japanese: 涙が紡いだ仲間の絆! ナミの世界地図)",Munehisa Sakai & Yoko Ikeda,,"October 15, 2006[27]","November 30, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,EX–3,EX–3,"""Straw Hat Theatre #3: Obahan Time"" Transliteration: ""Mugiwara Gekijō Sono San: Obahan Time"" (Japanese: 麦わら劇場その3「Obahan Time」)",,,"October 15, 2006[n 7]","November 30, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,282,19,"""Parting Builds a Man's Character! Sanji and Chopper!"" Transliteration: ""Wakare ga Otoko o Migaku! Sanji to Choppā"" (Japanese: 別れが男を磨く! サンジとチョッパー)",Munehisa Sakai & Yoko Ikeda,,"October 22, 2006[28]","January 4, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,EX–4,EX–4,"""Straw Hat Theatre #4: No Respect Time"" Transliteration: ""Mugiwara Gekijō Sono Yon: Jingi Nai Time"" (Japanese: 麦わら劇場その4「仁義ないTime」)",,,"October 22, 2006[n 7]","January 4, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,283,20,"""Everything is for Her Friends! Robin in the Darkness!"" Transliteration: ""Subete wa Nakama no Tame ni! Yami no Naka no Robin!"" (Japanese: 全ては仲間の為に! 闇の中のロビン!)",Munehisa Sakai & Yoko Ikeda,,"October 29, 2006[29]","January 11, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,EX–5,EX–5,"""Straw Hat Theatre #5: Monster Time"" Transliteration: ""Mugiwara Gekijō Sono Go Monster Time"" (Japanese: 麦わら劇場その5「Monster Time」)",,,"October 29, 2006[n 7]","January 11, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,284,21,"""I'm Not Gonna Hand Over the Blueprints! Franky's Decision!"" Transliteration: ""Sekkeizu wa Watasanai! Furankī no Ketsudan"" (Japanese: 設計図は渡さない! フランキーの決断)",Hiroyuki Kakudō,Hirohiko Kamisaka,"November 5, 2006[30]","January 18, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,285,22,"""Obtain the 5 Keys! The Straw Hat Pirates vs. CP9!"" Transliteration: ""Itsutsu no Kage o Ubae! Mugiwara Ichimi Tai CP9"" (Japanese: 5つの鍵を奪え! 麦わら一味対CP9)",Takahiro Imamura,Koga Naoki,"November 12, 2006[31]","January 25, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,286,23,"""Devil Fruit Powers! Kaku and Jabra Transform!"" Transliteration: ""Akuma no Mi no Chikara! Kaku to Jabura Daihenshin"" (Japanese: 悪魔の実の力! カクとジャブラ大変身)",Yoshihiro Ueda,Hirohiko Kamisaka,"November 19, 2006[32]","February 1, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,287,24,"""I Won't Kick Even If It Costs Me My Life! Sanji's Chivalry!"" Transliteration: ""Shin demo Keran! Sanji Otoko no Kishidō"" (Japanese: 死んでも蹴らん! サンジ男の騎士道!)",Hiroaki Miyamoto,Yoshiyuki Suga,"November 26, 2006[33]","February 8, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,288,25,"""Fukurou's Miscalculation! My Cola is the Water of Life!"" Transliteration: ""Fukurō no Gosan! Ore no Kōra wa Inochi no Mizu"" (Japanese: フクロウの誤算! 俺のコーラは命の水)",Yoko Ikeda,Koga Naoki,"December 3, 2006[34]","February 15, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,289,26,"""Zoro Busts Out a New Technique! The Sword's Name is Sniperking?"" Transliteration: ""Zoro Shinwaza Sakuretsu! Katana no Na wa Sogekingu?"" (Japanese: ゾロ新技炸裂! 刀の名はそげキング?)",Hiroyuki Kakudō,Yoshiyuki Suga,"December 10, 2006[35]","February 22, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,290,27,"""Uncontrollable! Chopper's Forbidden Rumble!"" Transliteration: ""Seigyo Funō! Choppā Kindan no Ranburu!"" (Japanese: 制御不能! チョッパー禁断のランブル)",Yoshihiro Ueda,Koga Naoki,"December 17, 2006[36]","March 1, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,291,28,"""Boss Luffy Returns! Is It a Dream or Reality? Lottery Ruckus!"" Transliteration: ""Rufi Oyabun Futatabi! Yume ga Aware ka Tomikuji Zōdō"" (Japanese: ルフィ親分再び! 夢か現か富くじ騒動)",Munehisa Sakai,Yoshiyuki Suga,"December 24, 2006[37]","March 8, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,292,29,"""A Big Rice Cake Tossing Race at the Castle! Red Nose's Plot!"" Transliteration: ""Oshiro de Mochi Maki Dai Rēsu! Akai Hana no Inbō"" (Japanese: お城で餅まき大レース! 赤い鼻の陰謀)",Yoko Ikeda,Koga Naoki,"January 7, 2007[38]","March 15, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,293,30,"""Bubble Master Kalifa! The Soap Trap Closes in on Nami!"" Transliteration: ""Awatsukai Karifa! Nami ni Hakaru Sekken no Wana"" (Japanese: 泡使いカリファ! ナミに迫る石鹸の罠)",Hiroaki Miyamoto,Yoshiyuki Suga,"January 14, 2007[39]","March 22, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,294,31,"""Resounding Bad News! Buster Call Invoked!"" Transliteration: ""Hibikiwataru Kyōhō! Hatsudō Basutā Kōru!"" (Japanese: 響き渡る凶報! 発動バスターコール!)",Hiroyuki Kakudō,Koga Naoki,"January 21, 2007[40]","March 29, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,295,32,"""Five Namis? Nami Strikes Back With Mirages!"" Transliteration: ""Gonin no Nami? Hangeki wa Shinkirō to Tomo ni!"" (Japanese: 5人のナミ? 反撃は蜃気楼とともに!)",Yoshihiro Ueda,Yoshiyuki Suga,"January 28, 2007[41]","April 5, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,296,33,"""Nami's Decision! Fire at the Out-Of-Control Chopper!"" Transliteration: ""Nami no Ketsudan! Bōsō Choppā o Ute!"" (Japanese: ナミの決断! 暴走チョッパーを撃て!)",Masahiro Hosoda,Koga Naoki,"February 4, 2007[42]","April 12, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,297,34,"""Hunter Sanji Makes An Entrance? Elegy for a Lying Wolf!"" Transliteration: ""Garibito Sanji Tōjō? Usotsuki Ōkami ni Okuru Banka"" (Japanese: 狩人サンジ登場!? 嘘つき狼に贈る挽歌)",Katsumi Tokoro,Yoshiyuki Suga,"February 11, 2007[43]","April 19, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298,35,"""Fiery Kicks! Sanji's Full Course of Foot Techniques!"" Transliteration: ""Shakunetsu no Keri! Sanji Ashiwaza no Furukōsu"" (Japanese: 灼熱の蹴り! サンジ足技のフルコース)",Hiroyuki Kakudō,Koga Naoki,"February 25, 2007[44]","April 26, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,299,36,"""Fierce Sword Attacks! Zoro vs. Kaku, Powerful Sword Fighting Showdown!"" Transliteration: ""Hakujin no Mōgeki! Zoro Tai Kaku Kyōryoku Sangeki Taiketsu"" (Japanese: 白刃の猛襲! ゾロ対カク強力斬撃対決)",Hiroaki Miyamoto,Yoshiyuki Suga,"March 4, 2007[45]","May 3, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,300,37,"""Demon God Zoro! An Incarnation of Asura Born From Fighting Spirit!"" Transliteration: ""Kishin Zoro! Kihaku ga Miseta Ashura no Keshin"" (Japanese: 鬼神ゾロ! 気迫が見せた阿修羅の化身)",Yoko Ikeda,Koga Naoki,"March 11, 2007[46]","May 10, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,301,38,"""Spandam Frightened! The Hero on the Tower of Law!"" Transliteration: ""Spandamu Kyōgaku! Shihō no Tō ni Tatsu Eiyū"" (Japanese: スパンダム驚愕! 司法の塔に立つ英雄)",Yoshihiro Ueda,Yoshiyuki Suga,"March 18, 2007[47]","May 17, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,302,39,"""Robin Freed! Luffy vs. Lucci, Showdown Between Leaders!"" Transliteration: ""Robin Kaihō! Rufi Tai Rutchi Chōjō Kessen"" (Japanese: ロビン解放! ルフィ対ルッチ頂上決戦)",Directed by : Akira Shimizu Storyboarded by : Seiji Okuda,Koga Naoki,"March 25, 2007[48]","May 31, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303,40,"""Boss Luffy is the Culprit? Track Down the Missing Great Cherry Tree!"" Transliteration: ""Hannin wa Rufi Oyabun? Kieta Ōzakura o Oe"" (Japanese: 犯人はルフィ親分? 消えた大桜を追え)",Munehisa Sakai,Hirohiko Kamisaka,"April 1, 2007[49]","June 7, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,304,41,"""I Can't Protect Anyone Unless I Win! Third Gear Activated!"" Transliteration: ""Katenakya Dare mo Mamorenai! Gia Sado Shidō"" (Japanese: 勝てなきゃ誰も守れない! ギア3始動)",Directed by : Makoto Sonoda Storyboarded by : Naotoshi Shida,Yoshiyuki Suga,"April 8, 2007[50]","June 14, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,305,42,"""Shivering Past! Dark Justice and Rob Lucci!"" Transliteration: ""Senritsu no Kako! Yami no Seigi to Robu Rutchi"" (Japanese: 戦慄の過去! 闇の正義とロブ·ルッチ)",Katsumi Tokoro,Koga Naoki,"April 15, 2007[51]","June 21, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,306,43,"""A Mysterious Mermaid Appears? As Consciousness Fades Away..."" Transliteration: ""Maboroshi no Ningyo Awareru? Usure Yuku Ishiki no Naka de"" (Japanese: 幻の人魚現る? 薄れゆく意識のなかで)",Directed by : Keisuke Ōnishi Storyboarded by : Yoshihiro Ueda,Yoshiyuki Suga,"April 22, 2007[52]","June 28, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,307,44,"""Cannon Fire Sinks the Island! Franky's Lamentation!"" Transliteration: ""Hōka ni Shizumu Shima! Furankī Munen no Sakebi"" (Japanese: 砲火に沈む島! フランキー無念の叫び)",Hiroyuki Kakudō,Koga Naoki,"April 29, 2007[53]","July 12, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,308,45,"""Wait for Luffy! Mortal Combat on the Bridge of Hesitation!"" Transliteration: ""Rufi o Mate! Tamerai no Hashi no Shitō!"" (Japanese: ルフィを待て! ためらいの橋の死闘!)",Directed by : Hiroyuki Satō Storyboarded by : Akiko Fujisawa,Yoshiyuki Suga,"May 6, 2007[54]","July 19, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,309,46,"""Fists Full of Emotion! Luffy Unleashes Gatling with All His Might!"" Transliteration: ""Kobushi ni Kometa Omoi! Rufi Konshin no Gātoringu"" (Japanese: 拳に込めた想い! ルフィ渾身の銃乱打)",Makoto Sonoda,Koga Naoki,"May 13, 2007[55]","July 26, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,310,47,"""From the Sea, a Friend Arrives! The Straw Hats Share the Strongest Bond!"" Transliteration: ""Tomo, Umi Yori Kuru! Mugiwara Ichimi Saikyō no Kizuna"" (Japanese: 友, 海より来る! 麦わら一味最強の絆)",Yoshihiro Ueda,Yoshiyuki Suga,"May 20, 2007[56]","August 2, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,311,48,"""Everyone Makes a Great Escape! The Road to Victory is for the Pirates!"" Transliteration: ""Zen'in Dai Dasshutsu! Shōsha no Michi wa Kaizoku no Tame ni"" (Japanese: 全員大脱出! 勝者の道は海賊のために)",Directed by : Hiroyuki Satō Storyboarded by : Eisaku Inoue,Koga Naoki,"May 27, 2007[57]","August 9, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,312,49,"""Thank You, Merry! Snow Falls over the Parting Sea!"" Transliteration: ""Arigatō Merī! Yuki ni Kemuru Wakare no Umi"" (Japanese: ありがとうメリー! 雪に煙る別れの海)",Katsumi Tokoro,Yoshiyuki Suga,"June 3, 2007[58]","August 16, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,313,50,"""Peace Interrupted! A Navy Vice Admiral with a Fist of Love!"" Transliteration: ""Yaburareta Ansoku! Ai no Kobushi o Motsu Kaigun Chūjō"" (Japanese: 破られた安息! 愛の拳を持つ海軍中将)",Hiroaki Miyamoto,Koga Naoki,"June 10, 2007[59]","August 23, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
